Date,Downloads
2024-08-09,48
2024-08-10,127
2024-08-11,45
2024-08-12,51
2024-08-13,40
2024-08-14,52
2024-08-15,41
2024-08-16,44
2024-08-17,28
2024-08-18,47
2024-08-19,55
2024-08-20,728
2024-08-21,321
2024-08-22,179
2024-08-23,114
2024-08-24,110
2024-08-25,95
2024-08-26,101
2024-08-27,98
2024-08-28,86
2024-08-29,101
2024-08-30,78
2024-08-31,50
2024-09-01,65
2024-09-02,67
2024-09-03,533
2024-09-04,322
2024-09-05,173
2024-09-06,117
2024-09-07,89
2024-09-08,99
2024-09-09,219
2024-09-10,168
2024-09-11,112
2024-09-12,110
2024-09-13,126
2024-09-14,113
2024-09-15,85
2024-09-16,64
2024-09-17,718
2024-09-18,2116
2024-09-19,1342
2024-09-20,622
2024-09-21,179
2024-09-22,207
2024-09-23,273
2024-09-24,303
2024-09-25,224
2024-09-26,226
2024-09-27,203
2024-09-28,248
2024-09-29,271
2024-09-30,10718
2024-10-01,1070
2024-10-02,538
2024-10-03,401
2024-10-04,226
2024-10-05,237
2024-10-06,232
2024-10-07,287
2024-10-08,253
2024-10-09,204
2024-10-10,183
2024-10-11,209
2024-10-12,199
2024-10-13,464
2024-10-14,129
2024-10-15,95
2024-10-16,157
2024-10-17,177
2024-10-18,134
2024-10-19,78
2024-10-20,139
2024-10-21,125
2024-10-22,158
2024-10-23,121
2024-10-24,225
2024-10-25,97
2024-10-26,129
2024-10-27,94
2024-10-28,100
2024-10-29,129
2024-10-30,143
2024-10-31,82
2024-11-01,90
2024-11-02,182
2024-11-03,90
2024-11-04,417
2024-11-05,887
2024-11-06,497
2024-11-07,479
2024-11-08,318
2024-11-09,347
2024-11-10,174
2024-11-11,540
2024-11-12,613
2024-11-13,369
2024-11-14,947
2024-11-15,799
2024-11-16,127
2024-11-17,89
2024-11-18,418
2024-11-19,422
2024-11-20,380
2024-11-21,400
2024-11-22,135
2024-11-23,57
2024-11-24,91
2024-11-25,77
2024-11-26,99
2024-11-27,186
2024-11-28,92
2024-11-29,59
