Region,Sub-Region,Event Name,SF Campaign Link,Ad Campaign Name,Event Start Date,Event End Date,Event Dashboard Category,Event Type,Event Budget - Pls input in SF campaign,Event Actual Cost - Pls input in SF campaign ,Audience,
EMEA,UK,Influencer & CP,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009APQIA2/view,Event-Hosted | PC - 20230517 | Breakfast Briefing - CP & Influencer,5/27/2023,5/27/2023,Impact.com Hosted,Event-Hosted,,,,TRUE
EMEA,UK,Digital Marketing World Forum,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009DAcIAM/view,Event-Tradeshow | PC - 20230621 | Digital Marketing World Forum - London,6/21/2023,6/21/2023,External,Event-Tradeshow,"$22,000","$12,122",,TRUE
EMEA,UK,iPX2023 London,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009CoJIAU/view,Event-Hosted | 2023-06-28 | iPX2023 London,6/28/2023,6/28/2023,Impact.com Hosted,Event-Hosted,"$70,000","$86,533",,TRUE
EMEA,UK,Own The City - Manchester,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009KcBIAU/view,Event-Hosted | PC - 20230906 | Own The City - Manchester,9/6/2023,9/6/2023,Impact.com Hosted,Event-Hosted,"$2,000","$2,440",,TRUE
EMEA,UK,Cretor Event London,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009KHjIAM/view,Event-Hosted | 2023-09-13 | Creators' Connect London,9/13/2023,9/13/2023,Impact.com Hosted,Event-Hosted,"$10,000","$8,389",,TRUE
EMEA,UK,Breakfast Briefing,,,,,#N/A,,,,,FALSE
EMEA,UK,Own The City,,,,,#N/A,,,,,FALSE
EMEA,UK,PI Live,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009J1HIAU/view,Event-Tradeshow | PC - 20231024 | PI LIVE Europe,10/24/2023,10/25/2023,External,Event-Tradeshow,"$50,000",,,TRUE
EMEA,UK,IMS,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Id6IAE/view,Event-Tradeshow | PC - 20231026 | IMS London - Influencer Marketing Show,10/26/2023,10/26/2023,External,Event-Tradeshow,"$20,000",,,TRUE
EMEA,UK,VIP Dinner,,,,,#N/A,,,,,FALSE
EMEA,UK,Own The City,,,,,#N/A,,,,,FALSE
EMEA,UK,Breakfast Briefing,,,,,#N/A,,,,,FALSE
EMEA,Germany,Own The City April,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009CH8IAM/view,Event-Hosted | PC - 20230427 | Own the City - DACH,27/04/2023,27/04/2023,Impact.com Hosted,Event-Hosted,"$2,000",,,TRUE
EMEA,Germany,Tactixx,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009EmyIAE/view,Event-Tradeshow | PC - 20230718 | TactixX 2023 - Germany,18/07/2023,18/07/2023,External,Event-Tradeshow,"$8,000",,,TRUE
EMEA,Germany,Affiliate Breakfast,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009HjdIAE/view,Event-Hosted | PC - 20230831 | Affiliate Breakfast - DACH,31/08/2023,31/08/2023,External,Event-Hosted,"$1,000",,,TRUE
