Date,Amount spent,Impressions,Link clicks,CTR (link click-through rate),CPM,CPC (link),On-Facebook leads,Cost per on-Facebook lead,Website conversions,Frequency
"Nov 12, 2024",1879.9899999999998,51345,349,0.0067971564904080245,36.61486025903203,5.386790830945558,63,29.841111111111108,46,null
"Nov 11, 2024",1906.76,52748,303,0.005744293622507015,36.14847956320619,6.292937293729373,59,32.317966101694914,37,null
"Nov 10, 2024",1981.8899999999999,52850,357,0.006754966887417219,37.50028382213812,5.551512605042016,76,26.077499999999997,51,null
"Nov 9, 2024",2002.09,49862,339,0.006798764590269143,40.152621234607516,5.905870206489675,70,28.601285714285712,30,null
"Nov 8, 2024",2254.48,55777,383,0.006866629614357173,40.419527762339314,5.886370757180157,103,21.888155339805824,35,null
"Nov 7, 2024",2139.91,56887,319,0.005607608065111537,37.61685446587094,6.708181818181818,61,35.08049180327868,33,null
"Nov 6, 2024",2142.2,68414,360,0.005262080860642559,31.312304499079133,5.950555555555555,70,30.60285714285714,47,null
"Nov 5, 2024",2234.73,60758,315,0.005184502452351953,36.78083544553804,7.094380952380952,80,27.934125,45,null
"Nov 4, 2024",2178.9100000000003,55236,353,0.0063907596495039465,39.447280758925345,6.172549575070822,93,23.42913978494624,19,null
"Oct 18, 2024",0,0,0,null,null,null,0,null,1,null
"Oct 17, 2024",0,0,0,null,null,null,0,null,3,null
"Oct 16, 2024",775.4500000000002,19881,100,0.00502992807202857,39.00457723454556,7.754500000000002,22,35.24772727272728,23,null
"Oct 15, 2024",1727.3400000000001,51080,250,0.004894283476898982,33.81636648394675,6.90936,49,35.25183673469388,40,null
"Oct 14, 2024",1783.8999999999999,53071,298,0.005615119368393285,33.61346121233819,5.986241610738254,48,37.16458333333333,35,null
"Oct 13, 2024",1828.2300000000002,47472,268,0.005645433097404786,38.511754297269974,6.821753731343285,48,38.088125000000005,28,null
"Oct 12, 2024",1597.3700000000003,40159,233,0.005801937299235538,39.77613984411963,6.855665236051504,41,38.96024390243903,23,null
"Oct 11, 2024",1699.4300000000003,45533,278,0.006105461972635231,37.323040432214,6.1130575539568355,54,31.470925925925933,48,null
"Oct 10, 2024",1675.25,47911,245,0.005113648222746342,34.96587422512575,6.837755102040816,36,46.53472222222222,40,null
"Oct 9, 2024",1656.77,46939,279,0.00594388461620401,35.29623553974307,5.938243727598566,33,50.20515151515151,27,null
"Oct 8, 2024",1750.1200000000001,48267,243,0.005034495618124185,36.259141856755136,7.202139917695474,47,37.236595744680855,21,null
"Oct 7, 2024",1801.8799999999999,60099,257,0.00427627747549876,29.981863258956057,7.011206225680933,44,40.951818181818176,36,null
"Oct 6, 2024",1935.0500000000002,52736,306,0.00580248786407767,36.693150788834956,6.3236928104575165,43,45.00116279069768,28,null
"Oct 5, 2024",1633.8099999999997,46489,279,0.006001419690679515,35.14401256211146,5.855949820788529,43,37.99558139534883,35,null
"Oct 4, 2024",1746.7400000000002,50544,336,0.006647673314339981,34.558800253244705,5.198630952380953,51,34.249803921568635,29,null
"Oct 3, 2024",1771.08,53038,297,0.005599758663599683,33.39266186507787,5.963232323232323,62,28.565806451612904,21,null
"Oct 2, 2024",1814.7799999999997,54133,330,0.006096096650841446,33.524467515194054,5.4993333333333325,55,32.995999999999995,20,null
"Oct 1, 2024",1840.52,53661,289,0.00538566184007007,34.29902536292652,6.368581314878893,61,30.172459016393443,16,null
"Sep 30, 2024",1909.8100000000002,46348,226,0.0048761543108656255,41.20587727625788,8.450486725663717,38,50.25815789473685,12,null
"Sep 29, 2024",1950.98,40494,278,0.006865214599693782,48.17948338025386,7.017913669064749,60,32.516333333333336,19,null
"Sep 28, 2024",1670.53,41250,249,0.006036363636363637,40.49769696969697,6.708955823293173,50,33.4106,22,null
"Sep 27, 2024",2019.0300000000002,54954,329,0.005986825344833861,36.740364668631955,6.1368693009118545,51,39.58882352941177,26,null
"Sep 26, 2024",2134.8700000000003,60056,356,0.005927800719328627,35.547988544025586,5.99682584269663,57,37.45385964912281,38,null
"Sep 25, 2024",2158.45,58370,330,0.00565358917252013,36.97875621038204,6.540757575757575,47,45.924468085106376,35,null
"Sep 24, 2024",2223.3999999999996,60449,398,0.0065840625982232955,36.78141904746149,5.586432160804019,52,42.7576923076923,40,null
"Sep 23, 2024",2330.19,81368,479,0.005886835119457281,28.63767082882706,4.864697286012526,49,47.55489795918368,33,null
"Sep 22, 2024",2263.5899999999997,70568,519,0.007354608321052035,32.07672032649359,4.361445086705202,56,40.42124999999999,9,null
"Sep 21, 2024",2017.5200000000004,62015,441,0.007111182778360074,32.532774328791426,4.574875283446713,48,42.03166666666667,10,null
"Sep 20, 2024",2193.73,67341,528,0.007840691406424022,32.57643931631547,4.154791666666667,44,49.8575,22,null
"Sep 19, 2024",2199.2200000000003,77090,486,0.006304319626410689,28.52795433908419,4.525144032921811,47,46.791914893617026,21,null
"Sep 18, 2024",2389.65,85872,487,0.005671231600521707,27.828046394633876,4.90687885010267,49,48.768367346938774,26,null
"Sep 17, 2024",2399.37,82152,638,0.007766092121920342,29.206470931931054,3.7607680250783697,64,37.49015625,23,null
"Sep 16, 2024",2486.2,89425,553,0.006183953033268102,27.802068772714563,4.495840867992767,47,52.89787234042553,30,null
"Sep 15, 2024",2504.3199999999997,80872,561,0.006936887921653972,30.966465525769113,4.464028520499109,55,45.5330909090909,25,null
"Sep 14, 2024",2268.13,68905,531,0.007706262245120093,32.91676946520572,4.271431261770245,48,47.25270833333334,21,null
"Sep 13, 2024",2362.0699999999997,73553,541,0.0073552404388672115,32.11384987695947,4.366118299445471,70,33.74385714285714,35,null
"Sep 12, 2024",2500.6099999999997,83270,548,0.006581001561186502,30.03014290861054,4.563156934306568,50,50.01219999999999,41,null
"Sep 11, 2024",2472.0800000000004,92435,510,0.005517390598799157,26.743982257802784,4.84721568627451,46,53.7408695652174,26,null
"Sep 10, 2024",2475.9600000000005,86917,727,0.008364301575065868,28.48648710839077,3.4057221458046776,59,41.96542372881357,28,null
"Sep 9, 2024",2421.1899999999996,81477,735,0.00902095069774292,29.716238938596167,3.2941360544217684,42,57.64738095238094,43,null
"Sep 8, 2024",2396.6000000000004,88363,595,0.006733587587564931,27.122211785475827,4.027899159663866,45,53.25777777777778,30,null
"Sep 7, 2024",2077.7,74716,590,0.007896568338776166,27.807966165212267,3.5215254237288134,47,44.2063829787234,25,null
"Sep 6, 2024",2323.84,83403,565,0.0067743366545567904,27.862786710310182,4.112991150442478,49,47.42530612244898,40,null
"Sep 5, 2024",2221.35,80552,568,0.007051345714569471,27.576596484258616,3.910827464788732,39,56.957692307692305,40,null
"Sep 4, 2024",2341.31,90328,848,0.009388008148082544,25.920091223098044,2.7609787735849056,42,55.74547619047619,45,null
"Sep 3, 2024",2312.18,113389,1526,0.013458095582463907,20.391572374745344,1.5151900393184796,55,42.03963636363636,29,null
"Sep 2, 2024",2369.5,115080,1576,0.013694820994091066,20.590024330900242,1.5034898477157361,41,57.792682926829265,26,null
"Sep 1, 2024",2398.6599999999994,99050,1021,0.010307925290257446,24.216658253407363,2.3493241919686576,51,47.032549019607835,20,null
"Aug 31, 2024",2193.73,95524,1058,0.011075750596708681,22.965223399355136,2.073468809073724,58,37.82293103448276,34,null
"Aug 30, 2024",2294.7899999999995,100992,1227,0.012149477186311788,22.72249287072243,1.8702444987775058,38,60.38921052631578,37,null
"Aug 29, 2024",2399.0899999999997,104163,650,0.006240219655731882,23.032074729030462,3.690907692307692,40,59.97724999999999,34,null
"Aug 28, 2024",2174.4,99532,515,0.005174215327733794,21.84624040509585,4.222135922330097,44,49.41818181818182,15,null
"Aug 27, 2024",2177.14,100687,590,0.005859743561730909,21.622851013537,3.6900677966101694,44,49.48045454545454,21,null
"Aug 26, 2024",2157.1600000000003,104138,596,0.005723175017764889,20.714436612955886,3.619395973154363,29,74.38482758620691,20,null
"Aug 25, 2024",2248.81,108307,614,0.005669070327864311,20.763293231277757,3.6625570032573287,34,66.1414705882353,16,null
"Aug 24, 2024",1990.8000000000002,69055,499,0.007226124103975092,28.82919412062849,3.9895791583166336,44,45.24545454545455,22,null
"Aug 23, 2024",2189.34,65160,455,0.006982811540822591,33.59944751381216,4.811736263736264,43,50.914883720930234,23,null
"Aug 22, 2024",2250.5699999999997,110673,558,0.005041880133365861,20.335312135751266,4.033279569892472,50,45.011399999999995,30,null
"Aug 21, 2024",2212.15,94684,545,0.005755988340163069,23.363503865489417,4.058990825688073,44,50.27613636363637,16,null
"Aug 20, 2024",2313.21,105538,647,0.006130493282040592,21.918266406412858,3.5752859350850077,50,46.2642,29,null
"Aug 19, 2024",2407.38,120431,694,0.0057626358661806345,19.989703647731897,3.468847262247839,32,75.230625,31,null
"Aug 18, 2024",2286.5899999999997,87247,563,0.0064529439407658715,26.20823638635139,4.061438721136767,36,63.51638888888888,22,null
"Aug 17, 2024",2033.88,88456,617,0.006975219318079045,22.99312652618251,3.2964019448946518,25,81.35520000000001,34,null
"Aug 16, 2024",2196.2,95999,582,0.006062563151699497,22.877321638767068,3.773539518900343,26,84.46923076923076,37,null
"Aug 15, 2024",2174.2,90812,612,0.006739197462890367,23.941769810157243,3.552614379084967,22,98.82727272727271,67,null
"Aug 14, 2024",2336.45,101452,597,0.005884556243346608,23.030102905807674,3.913651591289782,33,70.80151515151515,58,null
"Aug 13, 2024",2344.3399999999997,115120,606,0.005264072272411397,20.364315496872823,3.868547854785478,30,78.14466666666665,54,null
"Aug 12, 2024",2321.4200000000005,121594,672,0.005526588482984358,19.09156701810945,3.454494047619048,31,74.88451612903228,34,null
"Aug 11, 2024",2427.91,122718,697,0.005679688391271044,19.784465196629668,3.4833715925394544,26,93.38115384615384,44,null
"Aug 10, 2024",2125.7,123531,711,0.0057556402846249115,17.20782637556565,2.989732770745429,24,88.57083333333333,44,null
"Aug 9, 2024",2251.77,123307,706,0.005725546805939646,18.261493670270138,3.189475920679887,25,90.0708,44,null
"Aug 8, 2024",2131.53,113929,690,0.006056403549579124,18.709283852223752,3.0891739130434788,36,59.209166666666675,44,null
"Aug 7, 2024",2159.2000000000003,106210,635,0.005978721400998023,20.329535825251863,3.4003149606299217,33,65.43030303030304,54,null
"Aug 6, 2024",2447.11,148097,816,0.005509902293766923,16.52369730649507,2.9989093137254903,21,116.52904761904763,58,null
"Aug 5, 2024",2451.3900000000003,169847,871,0.0051281447420325355,14.432930814203374,2.8144546498277845,27,90.79222222222224,71,null
"Aug 4, 2024",2521.07,162029,896,0.0055298742817643754,15.55937517358004,2.8136941964285715,29,86.93344827586208,69,null
"Aug 3, 2024",2206.68,130815,736,0.005626266100982304,16.868707717004927,2.9982065217391303,31,71.1832258064516,53,null
"Aug 2, 2024",2316.88,138136,780,0.005646609138819714,16.772456130190537,2.9703589743589744,29,79.89241379310346,58,null
"Aug 1, 2024",2326.1300000000006,122671,753,0.006138370111925394,18.962346438848634,3.0891500664010634,37,62.868378378378395,62,null
"Jul 31, 2024",2364.6,126335,731,0.005786203348240788,18.71690347093046,3.2347469220246237,32,73.89375,49,null
"Jul 30, 2024",2386.99,103398,712,0.006886013269115457,23.085456198379077,3.35251404494382,45,53.04422222222222,64,null
"Jul 29, 2024",2449.7599999999998,114597,746,0.006509769016640924,21.37717392252851,3.283860589812332,37,66.20972972972973,55,null
"Jul 28, 2024",2530.73,125145,807,0.006448519717128131,20.22238203683727,3.1359727385377942,35,72.30657142857143,66,null
"Jul 27, 2024",2218.82,150149,867,0.005774264230864009,14.77745439530067,2.55919261822376,34,65.25941176470589,50,null
"Jul 26, 2024",2215.9900000000002,155966,799,0.005122911403767488,14.208160752984627,2.773454317897372,32,69.24968750000001,63,null
"Jul 25, 2024",2082.31,215170,951,0.004419761119115118,9.677510805409675,2.1896004206098842,25,83.2924,45,null
"Jul 24, 2024",2093.33,212352,968,0.004558468957203134,9.857830394816153,2.162530991735537,25,83.7332,54,null
"Jul 23, 2024",2141.96,215489,937,0.004348249794653091,9.93999693719865,2.2859765208110994,26,82.38307692307693,44,null
"Jul 22, 2024",2220.13,167375,826,0.004935026138909634,13.264406273338313,2.6878087167070217,32,69.3790625,134,null
"Jul 21, 2024",2280.81,177770,870,0.004893964110929853,12.830117567643583,2.621620689655172,29,78.64862068965517,247,null
"Jul 20, 2024",1936.84,187413,881,0.004700847860073741,10.33460859171989,2.198456299659478,18,107.60222222222222,196,null
"Jul 19, 2024",2131.6800000000003,177810,908,0.005106574433383949,11.988527079466849,2.3476651982378858,23,92.68173913043479,118,null
"Jul 18, 2024",2249.4,179076,885,0.004942035783689606,12.561147222408364,2.5416949152542374,23,97.8,87,null
"Jul 17, 2024",2311.8499999999995,136358,820,0.006013581894718315,16.95426744305431,2.819329268292682,28,82.5660714285714,122,null
"Jul 16, 2024",2478.6400000000003,182149,1008,0.005533931012522715,13.607760679443755,2.4589682539682545,22,112.66545454545457,127,null
"Jul 15, 2024",2701.25,200880,1255,0.006247510951812027,13.447082835523696,2.152390438247012,23,117.44565217391305,212,null
"Jul 14, 2024",2736.3500000000004,262589,1433,0.005457197369272894,10.420657377117854,1.9095254710397769,34,80.4808823529412,206,null
"Jul 13, 2024",2454.7300000000005,229383,1372,0.00598126277884586,10.701446925011881,1.7891618075801752,28,87.6689285714286,237,null
"Jul 12, 2024",2533.3999999999996,231498,1404,0.006064847212502915,10.943507071335388,1.8044159544159541,31,81.72258064516127,118,null
"Jul 11, 2024",2544.29,228913,1406,0.006142071441988878,11.114659281036902,1.8095945945945946,28,90.86749999999999,161,null
"Jul 10, 2024",2607.01,212260,1502,0.0070762272684443605,12.282153962121928,1.7356924101198403,36,72.41694444444445,174,null
"Jul 9, 2024",2617.6899999999996,244545,1449,0.005925289823958781,10.704328446707148,1.806549344375431,34,76.99088235294117,226,null
"Jul 8, 2024",2728.81,280218,1573,0.005613486642542592,9.738168140519168,1.734780673871583,31,88.02612903225807,315,null
"Jul 7, 2024",2780.8200000000006,267129,1575,0.005896027761867861,10.4100266163539,1.7656000000000005,30,92.69400000000002,265,null
"Jul 6, 2024",2404.1499999999996,325216,1485,0.0045661960051166,7.392471465118566,1.6189562289562287,19,126.53421052631577,243,null
"Jul 5, 2024",2564.2299999999996,360713,1608,0.004457837671500611,7.108781773875628,1.59467039800995,29,88.42172413793102,152,null
"Jul 4, 2024",2613.7200000000003,345740,1697,0.004908312604847574,7.559784809394343,1.540200353565115,31,84.31354838709679,220,null
"Jul 3, 2024",2713.14,291393,1725,0.005919840215791045,9.31093059888192,1.5728347826086955,31,87.52064516129032,299,null
"Jul 2, 2024",2771.43,344434,1747,0.005072089282707282,8.046331082297334,1.586393817973669,43,64.45186046511627,298,null
"Jul 1, 2024",2892.4000000000005,334635,1813,0.0054178433218282605,8.643447338144547,1.5953667953667956,28,103.30000000000003,239,null
