,model_week,date,iso_week,iso_year,ga4_sessions,podcast_streams,linkedin_spend,linkedin_impressions,linkedin_clicks,gSearch_sessions,gSearch_impressions,gift_spend,email_sent_cnt,email_delivered_cnt,email_opened_cnt,direct_spend,fb_spend,fb_impressions,fb_clicks,googleAds_spend,googleAds_impressions,event_spend,mql_count,impactDotCom_ga4_sessions,sum_content_download,sum_blog_subscribers,sum_newsletter_signup,month,daily_avg_queries,inflation_rate,durable_goods_rates,consumer_sentiment_index,averageMQL,smoothed_MQL
51,202422,2024-06-01,22,2024,107680.0,777.0,11374.659999999996,150069,1067,644.0,20076.0,0.0,0.0,0.0,0.0,47087.0,2858.9399999999996,586899.0,1601.0,0.0,0.0,0.0,11,2787.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,34.0,11.0
52,202422,2024-06-02,22,2024,139181.0,786.0,10394.769999999997,140464,1050,693.0,22219.0,0.0,0.0,0.0,0.0,0.0,3218.21,692090.0,1774.0,0.0,0.0,0.0,25,3540.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,32.0,25.0
53,202423,2024-06-03,23,2024,277299.0,915.0,12883.07,179016,1179,1419.0,38206.0,226.89,0.0,0.0,0.0,0.0,3138.8099999999995,303515.0,1304.0,2611.94,45840.0,0.0,53,4577.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,42.0,53.0
54,202423,2024-06-04,23,2024,262643.0,4618.0,14440.409999999994,203812,1407,1266.0,32069.0,463.37,0.0,0.0,0.0,9000.0,3033.0100000000007,180083.0,1064.0,6883.98,98100.0,6250.0,59,4098.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,51.0,59.0
55,202423,2024-06-05,23,2024,265137.0,2068.0,14724.969999999998,192206,1381,1318.0,33422.0,0.0,123369.0,117819.0,25058.0,0.0,2988.4699999999993,210682.0,1117.0,6889.78,101540.0,0.0,49,5493.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,57.5,49.0
56,202423,2024-06-06,23,2024,247185.0,1311.0,14549.969999999998,206241,1377,1215.0,36011.0,795.98,73.0,73.0,43.0,0.0,2769.26,185550.0,1142.0,6404.77,97450.0,0.0,56,5613.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,42.0,56.0
57,202423,2024-06-07,23,2024,204348.0,1170.0,13752.809999999994,178687,1287,1021.0,32973.0,200.0,486.0,483.0,305.0,0.0,2593.0,199679.0,1082.0,5063.34,74930.0,0.0,35,2507.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,39.5,35.0
58,202423,2024-06-08,23,2024,99799.0,1048.0,10392.230000000009,138539,1022,477.0,24490.0,0.0,0.0,0.0,0.0,0.0,2545.9800000000005,252999.0,1201.0,2102.4,5177.0,0.0,23,2586.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,28.0,23.0
59,202423,2024-06-09,23,2024,118878.0,958.0,8746.690000000006,124426,973,485.0,34835.0,0.0,0.0,0.0,0.0,0.0,2844.9700000000003,260212.0,1175.0,2413.76,49110.0,0.0,21,2309.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,30.5,21.0
60,202424,2024-06-10,24,2024,280940.0,763.0,14334.930000000004,197018,1499,1290.0,39303.0,175.0,0.0,0.0,0.0,0.0,2821.38,203051.0,1107.0,5772.73,91590.0,0.0,38,5968.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,38.0,38.0
61,202424,2024-06-11,24,2024,280416.0,518.0,14458.54000000001,173208,1416,1441.0,40539.0,221.73000000000002,148237.0,142364.0,28741.0,0.0,2752.9099999999994,187787.0,1025.0,6066.74,94450.0,0.0,55,4261.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,44.5,55.0
62,202424,2024-06-12,24,2024,280636.0,498.0,14344.78,199617,1458,1281.0,47644.0,250.0,478.0,474.0,314.0,0.0,2700.26,208802.0,1169.0,6424.31,92760.0,0.0,51,4697.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,54.0,51.0
63,202424,2024-06-13,24,2024,257782.0,421.0,14343.410000000007,188463,1438,1263.0,57878.0,339.1,0.0,0.0,0.0,0.0,2635.85,226305.0,1018.0,5948.19,88650.0,0.0,53,3897.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,121.0,53.0
64,202424,2024-06-14,24,2024,189263.0,397.0,13152.45999999999,179493,1416,995.0,46568.0,247.26,491.0,487.0,321.0,0.0,2630.54,238289.0,1056.0,5107.83,80650.0,0.0,191,2863.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,36.5,36.5
65,202424,2024-06-15,24,2024,104635.0,417.0,10305.260000000004,125777,1014,489.0,28467.0,0.0,0.0,0.0,0.0,0.0,2520.46,246897.0,1082.0,2372.49,4780.0,0.0,20,2425.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,107.5,20.0
66,202424,2024-06-16,24,2024,108250.0,455.0,8185.620000000002,101213,898,530.0,34853.0,0.0,0.0,0.0,0.0,0.0,2907.5200000000004,241538.0,1192.0,2472.91,48300.0,0.0,24,2465.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,56.5,24.0
67,202425,2024-06-17,25,2024,227389.0,458.0,14050.860000000004,183029,1526,1497.0,59311.0,0.0,676.0,672.0,452.0,0.0,2860.65,231685.0,1209.0,6689.54,95150.0,0.0,93,5008.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,47.5,93.0
68,202425,2024-06-18,25,2024,237886.0,3207.0,14476.039999999994,172483,1443,1311.0,43139.0,258.7,0.0,0.0,0.0,0.0,2789.4999999999995,194727.0,1156.0,6953.3,104650.0,0.0,71,5166.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,95.5,71.0
69,202425,2024-06-19,25,2024,211409.0,1057.0,14501.340000000002,163498,1396,964.0,47324.0,0.0,468.0,463.0,288.0,0.0,2730.7000000000003,204723.0,1140.0,6164.68,91811.0,0.0,98,4134.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,70.0,98.0
70,202425,2024-06-20,25,2024,239718.0,573.0,14462.11,184745,1473,1146.0,30348.0,297.58,0.0,0.0,0.0,0.0,2746.5600000000004,236892.0,1285.0,7723.38,98240.0,0.0,69,4573.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,69.0,69.0
71,202425,2024-06-21,25,2024,191860.0,407.0,13871.959999999988,169630,1390,895.0,29137.0,50.0,0.0,0.0,0.0,0.0,2764.03,245771.0,1352.0,4847.03,79410.0,0.0,40,3777.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,45.5,40.0
72,202425,2024-06-22,25,2024,115685.0,282.0,11947.500000000016,132591,1195,480.0,21629.0,0.0,0.0,0.0,0.0,0.0,2644.04,251893.0,1419.0,2108.32,5328.0,0.0,22,4173.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,32.5,22.0
73,202425,2024-06-23,25,2024,124869.0,280.0,10828.940000000002,124505,1057,524.0,22582.0,0.0,0.0,0.0,0.0,0.0,3039.47,278974.0,1497.0,2608.26,58860.0,0.0,25,4174.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,51.0,25.0
74,202426,2024-06-24,26,2024,242141.0,244.0,14524.149999999998,177482,1491,1209.0,34626.0,0.0,0.0,0.0,0.0,0.0,2989.57,348984.0,1508.0,7028.67,102550.0,0.0,80,5089.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,66.5,80.0
75,202426,2024-06-25,26,2024,268028.0,202.0,14556.420000000007,187418,1475,1213.0,32730.0,225.0,0.0,0.0,0.0,0.0,2892.0699999999997,322448.0,1434.0,7438.97,104350.0,0.0,108,4333.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,74.0,108.0
76,202426,2024-06-26,26,2024,248102.0,176.0,13085.710000000012,172437,1331,1195.0,31944.0,569.81,53564.0,51348.0,11298.0,0.0,2820.919999999999,263261.0,1200.0,7582.54,110450.0,0.0,68,4015.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,82.5,68.0
77,202426,2024-06-27,26,2024,234671.0,191.0,11406.960000000005,155160,1210,1156.0,28235.0,163.26,461.0,460.0,269.0,0.0,2804.2000000000003,286994.0,1364.0,6711.21,98320.0,0.0,57,3855.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,56.5,57.0
78,202426,2024-06-28,26,2024,175313.0,195.0,10590.88,151371,1132,885.0,28297.0,91.43,0.0,0.0,0.0,0.0,2769.17,287781.0,1431.0,4470.11,79090.0,0.0,45,2625.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,41.0,45.0
79,202426,2024-06-29,26,2024,92624.0,122.0,9507.77,126854,994,507.0,21313.0,0.0,0.0,0.0,0.0,0.0,2622.73,333134.0,1555.0,3042.43,5181.0,0.0,25,3062.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,33.5,25.0
80,202426,2024-06-30,26,2024,130273.0,137.0,9956.54,128358,1038,532.0,22578.0,0.0,0.0,0.0,0.0,0.0,3045.71,288304.0,1597.0,3013.89,53290.0,0.0,22,3935.0,0.0,0.0,0.0,6,14680.0,0.0297,-0.0691,68.2,39.0,22.0
81,202427,2024-07-01,27,2024,260268.0,99.0,14298.229995990972,232747,1241,1159.0,33278.0,313.93,0.0,0.0,0.0,204000.0,2892.4000000000005,334635.0,1807.0,7222.47,96500.0,0.0,53,5645.0,0.0,0.0,0.0,7,14622.0,0.0289,0.0987,66.4,36.0,53.0
82,202427,2024-07-02,27,2024,265748.0,122.0,14435.189995846871,212200,1198,1204.0,34435.0,50.0,53272.0,51178.0,11308.0,8500.0,2771.43,344434.0,1757.0,5682.48,94230.0,0.0,50,3896.0,0.0,0.0,0.0,7,14622.0,0.0289,0.0987,66.4,57.0,50.0
83,202427,2024-07-03,27,2024,224489.0,125.0,14460.069980611808,227217,1283,957.0,31837.0,2400.0,0.0,0.0,0.0,0.0,2713.14,291393.0,1719.0,5776.13,81780.0,0.0,61,3300.0,0.0,0.0,0.0,7,14622.0,0.0289,0.0987,66.4,38.5,61.0
84,202427,2024-07-04,27,2024,159853.0,122.0,11408.209993110928,142600,928,510.0,23763.0,25.0,0.0,0.0,0.0,0.0,2613.7200000000003,345740.0,1702.0,3311.24,47610.0,0.0,27,3816.0,0.0,0.0,0.0,7,14622.0,0.0289,0.0987,66.4,48.5,27.0
