date,week,year,mql_count
2024-08-09,31,2024,46
2024-08-12,32,2024,103
2024-08-13,32,2024,62
2024-08-14,32,2024,74
2024-09-24,38,2024,72
2024-08-17,32,2024,27
2024-08-18,33,2024,36
2024-08-19,33,2024,122
2024-08-22,33,2024,93
2024-08-24,33,2024,34
2024-09-09,36,2024,52
2024-08-30,34,2024,44
2024-09-02,35,2024,38
2024-09-03,35,2024,80
2024-09-04,35,2024,81
2024-09-06,35,2024,204
2024-09-07,35,2024,31
2024-09-10,36,2024,76
2024-09-11,36,2024,66
2024-09-19,37,2024,57
2024-09-16,37,2024,46
2024-09-26,38,2024,73
2024-09-27,38,2024,53
2024-09-29,39,2024,34
2024-10-09,40,2024,74
2024-09-30,39,2024,48
2024-10-01,39,2024,57
2024-10-02,39,2024,67
2024-10-08,40,2024,39
2024-10-10,40,2024,53
2024-10-16,41,2024,102
2024-10-15,41,2024,340
2024-10-17,41,2024,82
2024-10-18,41,2024,49
2024-10-24,42,2024,67
2024-10-25,42,2024,56
2024-10-29,43,2024,61
2024-10-30,43,2024,54
2024-11-04,44,2024,60
2024-11-05,44,2024,62
2024-11-06,44,2024,148
2024-11-08,44,2024,64
2024-11-10,45,2024,32
2024-11-12,45,2024,42
2024-11-14,45,2024,107
2024-12-06,48,2024,47
2024-11-18,46,2024,63
2024-11-20,46,2024,56
2024-11-22,46,2024,38
2024-11-23,46,2024,26
2024-11-25,47,2024,62
2024-11-27,47,2024,82
2024-11-29,47,2024,27
2024-12-01,48,2024,16
2024-12-02,48,2024,44
2024-12-03,48,2024,101
2024-12-04,48,2024,72
2024-12-05,48,2024,67
2024-12-10,49,2024,121
2024-12-11,49,2024,75
2024-12-13,49,2024,42
2024-12-15,50,2024,34
2024-12-16,50,2024,86
2024-12-18,50,2024,61
2024-12-22,51,2024,23
2024-12-26,51,2024,29
2024-12-29,52,2024,19
2024-12-31,52,2024,24
2025-01-04,0,2025,16
2025-01-05,1,2025,15
2025-01-08,1,2025,96
2025-05-21,20,2025,27
2025-01-11,1,2025,27
2025-01-13,2,2025,131
2025-01-16,2,2025,98
2025-01-17,2,2025,45
2025-01-24,3,2025,81
2025-01-21,3,2025,42
2025-01-23,3,2025,73
2025-01-25,3,2025,41
2025-01-26,4,2025,38
2025-01-27,4,2025,147
2025-01-28,4,2025,53
2025-01-29,4,2025,58
2025-01-30,4,2025,120
2025-02-02,5,2025,40
2025-02-03,5,2025,70
2025-02-06,5,2025,108
2025-02-08,5,2025,21
2025-02-11,6,2025,32
2025-02-12,6,2025,49
2025-02-13,6,2025,40
2025-02-15,6,2025,14
2025-02-16,7,2025,22
2025-02-19,7,2025,38
2025-02-23,8,2025,14
2025-02-26,8,2025,35
2025-02-27,8,2025,35
2025-02-28,8,2025,27
2025-03-02,9,2025,16
2025-03-03,9,2025,207
2025-03-04,9,2025,34
2025-03-05,9,2025,44
2025-03-09,10,2025,16
2025-03-11,10,2025,28
2025-03-12,10,2025,40
2025-03-14,10,2025,44
2025-03-18,11,2025,119
2025-03-26,12,2025,55
2025-03-27,12,2025,114
2025-03-31,13,2025,49
2025-04-01,13,2025,140
2025-04-03,13,2025,146
2025-04-04,13,2025,28
2025-04-07,14,2025,144
2025-04-08,14,2025,43
2025-04-12,14,2025,17
2025-04-17,15,2025,50
2025-04-28,17,2025,41
2025-05-01,17,2025,36
2025-05-03,17,2025,11
2025-05-06,18,2025,38
2025-05-09,18,2025,29
2025-05-13,19,2025,43
2025-05-16,19,2025,23
2025-05-25,21,2025,18
2025-06-01,22,2025,17
2025-06-03,22,2025,38
2025-06-06,22,2025,21
2025-06-07,22,2025,26
2025-06-08,23,2025,17
2020-07-02,26,2020,18
2023-12-20,51,2023,20
2024-07-15,28,2024,43
2024-08-08,31,2024,78
